Number of Data Points = 12
       
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
Kenichi_Gyroids_Position 177 0008 LC.hys	1.897931	9.390125	2.091927	3218.306006	470.261065	5.264489	32.6714	2.917723	1.634567	0.34121	1.096806	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	65.195349	152.124723	18.832766	196643.952359	470.261065	71.253595	37.627785	0.773605	0.545783	54.958042	2.01736	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	142.288151	465.95532	44.378474	695745.778967	470.261065	150.162835	47.139167	0.669721	1.388217	129.875134	1.932239	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	202.125589	951.365155	70.817367	1283608.988498	470.261065	212.201138	55.380673	0.741164	7.907474	191.098492	1.570831	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	251.591891	1607.765287	98.390476	1901955.908561	470.261065	263.847386	63.210273	0.845322	6.364572	236.520426	1.672329	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	289.280888	2436.046054	115.101945	2453518.988275	470.261065	305.154073	65.106265	0.992878	20.678893	275.404981	1.40563	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	319.496665	3435.108602	132.002458	2945963.266075	470.261065	339.013964	68.140165	1.166039	24.995406	303.208738	1.375903	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	344.734043	4605.146451	149.029388	3391547.353505	470.261065	367.909739	71.698126	1.357831	10.524963	319.479756	1.567266	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	367.283275	5946.649701	158.839101	3816062.207612	470.261065	395.361923	72.041795	1.558321	9.542059	336.295879	1.577695	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	388.131575	7459.465257	169.482704	4230715.674456	470.261065	421.141427	73.005116	1.763169	7.946392	350.40782	1.607102	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	407.947162	9144.09958	178.761197	4644565.94814	470.261065	446.31161	73.49123	1.968774	5.629377	361.212605	1.66363	13.537059	-10.45984	0.027187
Kenichi_Gyroids_Position 177 0008 LC.hys	427.919656	10999.962884	197.760719	5081157.970755	470.261065	469.636596	77.730867	2.164854	0.60381	354.63688	2.0675	13.537059	-10.45984	0.027187

